Id,Reputation,CreationDate,LastAccessDate,numPosts,is_churn,gap1,gap2,gap3,gap4,num_answers,num_questions,ans_que_ratio,accepted_answerer_rep,max_rep_answerer,num_que_answered,time_for_first_ans,rep_questioner,rep_answerers,rep_co_answerers,num_answers_recvd,ans_score,que_score,ans_stddev,que_stddev,answering_speed,ans_comments,que_comments,relative_rank_pos
8,7787,2010-07-20 19:02:36.577,2019-08-28 03:27:52.720,32.0,0,1183.616,16.023283333333335,10.702666666666667,111.23328333333333,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1490.6666666666667,0.0,4301.805555555556,0.0,138.75,0.0,163.61616668288008,0.0,0.0,1137.5,0.0,135.25
9,13394,2010-07-20 19:03:30.537,2019-08-20 19:14:18.543,134.0,0,65849.38,7.656716666666667,51.84816666666667,327.99178333333333,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3327.6666666666665,0.0,6365.333333333333,0.0,10.0,0.0,5.597618541248888,0.0,0.0,443.5,0.0,8.166666666666668
11,926,2010-07-20 19:03:51.300,2019-05-20 12:00:45.380,6.0,0,3672.333,33.021283333333336,169811.05911666667,17192.1371,4.0,0.0,0.0,0.0,0.0,0.0,0.0,889.0,0.0,1959.5,0.0,13.25,0.0,5.737304826019502,0.0,0.0,302.75,0.0,12.125
16,3874,2010-07-20 19:05:21.640,2019-08-26 23:23:06.970,74.0,0,1079.5800000000002,17.30095,11.871833333333335,6.275666666666667,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2365.25,0.0,9512.104166666666,0.0,32.0,0.0,33.2665998663324,0.0,0.0,348.5,0.0,31.5
19,513,2010-07-20 19:06:33.633,2018-02-22 12:51:09.673,16.0,0,1570.92,4.969116666666666,474.1171166666667,27.66476666666667,4.0,0.0,0.0,0.0,0.0,0.0,0.0,268.3333333333333,0.0,2814.361111111111,0.0,9.0,0.0,8.981462390204987,0.0,0.0,332.75,0.0,2.5500000000000003
25,4315,2010-07-20 19:09:19.663,2019-08-31 16:03:24.880,29.0,0,1878.804,32.54571666666667,263.52555,10060.855450000001,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3119.0,0.0,6367.666666666666,0.0,35.5,0.0,18.119970566569176,0.0,0.0,1435.0,0.0,29.125
26,1293,2010-07-20 19:09:40.130,2017-08-04 22:15:22.100,17.0,0,51820.143000000004,110.31183333333334,249.62,295.0762833333334,2.0,2.0,1.0,24417.0,222063.0,2.0,0.011208282771524386,4107.0,42733.142857142855,37224.1,4.0,38.0,11.0,38.18376618407357,2.8284271247461903,3.765233617496769e-05,1867.0,233.5,13.583333333333334
30,1838,2010-07-20 19:11:53.463,2016-03-28 05:19:21.697,24.0,0,7624.740000000001,6.530500000000001,2394.885666666667,1.88395,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3098.5,0.0,2219.1,0.0,46.0,0.0,52.58009762891913,0.0,0.0,130.25,0.0,44.6
31,2776,2010-07-20 19:12:52.807,2019-07-23 19:28:09.000,12.0,0,77.796,172.85783333333336,10.606733333333333,4.110166666666667,3.0,1.0,2.0,6599.0,222063.0,1.0,0.057698410408793234,4497.0,81534.6,2118.7272727272725,7.0,11.0,278.0,4.358898943540674,0.0,0.022419925552613223,551.0,1221.0,8.614035087719298
33,3995,2010-07-20 19:13:29.857,2019-08-30 12:47:52.133,11.0,0,590.46,31.226266666666668,151077.18745000003,59258.18495,1.0,3.0,0.5,62775.0,62775.0,3.0,0.0002041478024645902,0.0,31469.75,0.0,1.6666666666666667,-2.0,5.666666666666667,0.0,3.2145502536643185,0.0,856.0,683.6666666666666,-0.5
35,1310,2010-07-20 19:14:45.970,2017-07-06 10:06:04.703,12.0,0,511.6,11.154783333333334,12.145100000000001,4.818616666666667,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1187.5,0.0,8681.833333333334,0.0,12.25,0.0,10.812801055539063,0.0,0.0,685.5,0.0,7.719047619047619
37,706,2010-07-20 19:14:55.563,2019-08-21 18:20:00.437,5.0,1,1902.4840000000002,8.4541,20.073833333333333,314136.47956666665,3.0,1.0,2.0,3874.0,24417.0,1.0,0.2692587307143434,386.0,10868.666666666666,0.0,6.0,2.0,101.0,1.0,0.0,0.10984395324056097,162.33333333333334,135.0,0.7999999999999999
38,1594,2010-07-20 19:15:29.773,2019-08-17 19:54:22.843,7.0,0,151.477,5.883,3.74555,4.71045,3.0,1.0,2.0,2920.0,222063.0,1.0,0.2597515043941296,210.5,63288.0,7584.066666666666,13.0,15.666666666666666,51.0,5.686240703077327,0.0,0.21575861369949956,523.3333333333334,217.0,5.185185185185185
