Id,Reputation,CreationDate,LastAccessDate,numPosts,is_churn,gap1,gap2,gap3,gap4,gap5,gap6,gap7,gap8,num_answers,num_questions,ans_que_ratio,accepted_answerer_rep,max_rep_answerer,num_que_answered,time_for_first_ans,rep_questioner,rep_answerers,rep_co_answerers,num_answers_recvd,ans_score,que_score,ans_stddev,que_stddev,answering_speed,ans_comments,que_comments,relative_rank_pos
8,7787,2010-07-20 19:02:36.577,2019-08-28 03:27:52.720,32.0,0,1183.616,16.023283333333335,10.702666666666667,111.23328333333333,14.950266666666668,4.662233333333334,21.6731,307.1256666666667,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3255.25,0.0,7895.825,0.0,78.375,0.0,125.55469781277459,0.0,0.0,919.625,0.0,72.11458333333333
9,13394,2010-07-20 19:03:30.537,2019-08-20 19:14:18.543,134.0,0,65849.38,7.656716666666667,51.84816666666667,327.99178333333333,314.64810000000006,722.3050000000001,301.16473333333334,173.35960000000003,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4899.0,0.0,7597.444444444444,0.0,15.5,0.0,19.375979237926824,0.0,0.0,374.0,0.0,9.708333333333334
16,3874,2010-07-20 19:05:21.640,2019-08-26 23:23:06.970,74.0,0,1079.5800000000002,17.30095,11.871833333333335,6.275666666666667,67.21176666666666,162.84545,17.34345,260.71655,8.0,0.0,0.0,0.0,0.0,0.0,0.0,6676.0,0.0,12901.75,0.0,20.25,0.0,25.38137674978025,0.0,0.0,287.25,0.0,18.09659090909091
19,513,2010-07-20 19:06:33.633,2018-02-22 12:51:09.673,16.0,0,1570.92,4.969116666666666,474.1171166666667,27.66476666666667,32.61761666666667,0.9542166666666667,33.174,9502.498616666668,7.0,1.0,4.0,1326.0,107228.0,1.0,0.015466907263001869,2866.0,52926.333333333336,17468.0,3.0,7.714285714285714,41.0,7.227592630889986,0.0,0.007734114110399953,312.7142857142857,1239.0,2.1048273155416015
25,4315,2010-07-20 19:09:19.663,2019-08-31 16:03:24.880,29.0,0,1878.804,32.54571666666667,263.52555,10060.855450000001,37.08583333333333,1266.5602166666665,37499.21200000001,33994.9805,8.0,0.0,0.0,0.0,0.0,0.0,0.0,31255.5,0.0,0.0,0.0,26.0,0.0,18.81488772222678,0.0,0.0,1156.5,0.0,20.625
26,1293,2010-07-20 19:09:40.130,2017-08-04 22:15:22.100,17.0,0,51820.143000000004,110.31183333333334,249.62,295.0762833333334,841.5086666666667,2288.301783333334,15563.057100000002,2312.7454000000002,6.0,2.0,2.3333333333333335,24417.0,222063.0,2.0,0.011208282771524386,4632.666666666667,42733.142857142855,25945.5,4.0,18.333333333333332,11.0,23.897001206567044,2.8284271247461903,0.0572173838256618,1032.1666666666667,233.5,9.291666666666666
30,1838,2010-07-20 19:11:53.463,2016-03-28 05:19:21.697,24.0,0,7624.740000000001,6.530500000000001,2394.885666666667,1.88395,24.67216666666667,217.38528333333335,1216.03655,0.35728333333333334,7.0,1.0,4.0,13394.0,13394.0,1.0,0.014008591001908438,5806.5,13394.0,10095.25,1.0,29.0,7.0,42.81744192888376,0.0,0.0,194.0,246.0,27.364285714285717
31,2776,2010-07-20 19:12:52.807,2019-07-23 19:28:09.000,12.0,0,77.796,172.85783333333336,10.606733333333333,4.110166666666667,421.7271666666667,66.24650000000001,87.9795,1335.5585,6.0,2.0,2.3333333333333335,6599.0,222063.0,2.0,0.08857330548194949,5033.0,56257.5,25945.5,5.0,16.833333333333332,150.0,9.347013783378447,181.01933598375618,0.04636880046199021,489.3333333333333,932.5,8.842592592592593
33,3995,2010-07-20 19:13:29.857,2019-08-30 12:47:52.133,11.0,0,590.46,31.226266666666668,151077.18745000003,59258.18495,76889.43121666668,217930.32028333333,77539.67716666666,49261.246333333336,1.0,7.0,0.25,251314.0,251314.0,7.0,0.00013421888001814862,0.0,82172.92307692308,0.0,2.142857142857143,-2.0,6.857142857142857,0.0,6.25642526870234,0.04741474078498678,856.0,614.2857142857143,-0.4
35,1310,2010-07-20 19:14:45.970,2017-07-06 10:06:04.703,12.0,0,511.6,11.154783333333334,12.145100000000001,4.818616666666667,6.439383333333334,145.18778333333333,576.1775,4.751783333333334,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2959.5,0.0,8168.166666666667,0.0,13.625,0.0,7.909081579334697,0.0,0.0,717.0,0.0,7.629166666666666
