Id,Reputation,CreationDate,LastAccessDate,numPosts,is_churn,gap1,num_answers,num_questions,ans_que_ratio,accepted_answerer_rep,max_rep_answerer,num_que_answered,time_for_first_ans,rep_questioner,rep_answerers,rep_co_answerers,num_answers_recvd,ans_score,que_score,ans_stddev,que_stddev,answering_speed,ans_comments,que_comments,relative_rank_pos
3,357,2010-07-20 16:03:31.233,2019-03-12 16:34:41.130,3.0,0,13303.400000000001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,203.0,0.0,0.0,0.0,266.0,0.0,0.0,0.0,0.0,555.0,0.0,266.0
5,393,2010-07-20 17:05:37.000,2019-08-28 02:00:26.007,3.0,0,9463.457,0.0,1.0,0.0,1310.0,43749.0,1.0,0.30365909205931474,0.0,12591.125,0.0,10.0,0.0,44.0,0.0,0.0,0.30365909205931474,0.0,174.0,0.0
8,7787,2010-07-20 19:02:36.577,2019-08-28 03:27:52.720,32.0,0,1183.616,1.0,0.0,0.0,0.0,0.0,0.0,0.0,869.0,0.0,2954.5,0.0,169.0,0.0,0.0,0.0,0.0,1718.0,0.0,169.0
9,13394,2010-07-20 19:03:30.537,2019-08-20 19:14:18.543,134.0,0,65849.38,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1973.0,0.0,13394.0,0.0,12.0,0.0,0.0,0.0,0.0,363.0,0.0,12.0
10,869,2010-07-20 19:03:49.270,2018-08-14 15:57:55.993,1.0,1,337.93,0.0,1.0,0.0,7787.0,7787.0,1.0,0.0776203665492443,0.0,2654.8571428571427,0.0,9.0,0.0,152.0,0.0,0.0,0.05459767142251204,0.0,471.0,0.0
11,926,2010-07-20 19:03:51.300,2019-05-20 12:00:45.380,6.0,0,3672.333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,415.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,211.0,0.0,9.0
12,518,2010-07-20 19:03:52.720,2018-02-26 06:06:41.457,2.0,0,532699.28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7999.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,266.0,0.0,5.0
13,136,2010-07-20 19:03:53.157,2018-09-21 20:37:02.270,1.0,1,24962290.963000003,0.0,1.0,0.0,0.0,5585.0,1.0,0.016245444844954826,0.0,5585.0,0.0,3.0,0.0,7.0,0.0,0.0,0.0,0.0,677.0,0.0
14,166,2010-07-20 19:04:04.340,2018-08-05 17:10:27.510,1.0,1,30402958.66,0.0,1.0,0.0,0.0,61889.0,1.0,0.006737631140971793,0.0,38197.0,0.0,2.0,0.0,13.0,0.0,0.0,0.0,0.0,730.0,0.0
16,3874,2010-07-20 19:05:21.640,2019-08-26 23:23:06.970,74.0,0,1079.5800000000002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,203.0,0.0,2607.5,0.0,18.0,0.0,0.0,0.0,0.0,293.0,0.0,18.0
