Id,Reputation,CreationDate,LastAccessDate,numPosts,is_churn,gap1,gap2,gap3,gap4,gap5,gap6,gap7,gap8,gap9,gap10,gap11,num_answers,num_questions,ans_que_ratio,accepted_answerer_rep,max_rep_answerer,num_que_answered,time_for_first_ans,rep_questioner,rep_answerers,rep_co_answerers,num_answers_recvd,ans_score,que_score,ans_stddev,que_stddev,answering_speed,ans_comments,que_comments,relative_rank_pos
8,7787,2010-07-20 19:02:36.577,2019-08-28 03:27:52.720,32.0,0,1183.616,16.023283333333335,10.702666666666667,111.23328333333333,14.950266666666668,4.662233333333334,21.6731,307.1256666666667,3.0512333333333337,47.733716666666666,69.091,11.0,0.0,0.0,0.0,0.0,0.0,0.0,3479.1666666666665,0.0,7933.155555555556,0.0,62.72727272727273,0.0,108.41410508701432,0.0,0.0,946.4545454545455,0.0,56.598484848484844
9,13394,2010-07-20 19:03:30.537,2019-08-20 19:14:18.543,134.0,0,65849.38,7.656716666666667,51.84816666666667,327.99178333333333,314.64810000000006,722.3050000000001,301.16473333333334,173.35960000000003,1072.1335000000001,710.3906666666667,548.586,10.0,1.0,5.5,0.0,222063.0,1.0,0.02968126770673126,4974.625,72157.0,11877.125,8.0,13.8,156.0,17.459795085980947,0.0,2.7018204439478487e-05,526.2,2207.0,8.725
16,3874,2010-07-20 19:05:21.640,2019-08-26 23:23:06.970,74.0,0,1079.5800000000002,17.30095,11.871833333333335,6.275666666666667,67.21176666666666,162.84545,17.34345,260.71655,90.63628333333334,518.3476666666667,492.07550000000003,11.0,0.0,0.0,0.0,0.0,0.0,0.0,6676.0,0.0,18498.46568627451,0.0,20.09090909090909,0.0,23.905876036884926,0.0,0.0,263.45454545454544,0.0,14.985832349468716
19,513,2010-07-20 19:06:33.633,2018-02-22 12:51:09.673,16.0,0,1570.92,4.969116666666666,474.1171166666667,27.66476666666667,32.61761666666667,0.9542166666666667,33.174,9502.498616666668,3969.2763333333337,22498.58,45324.44211666667,8.0,3.0,2.25,22321.0,107228.0,3.0,0.0009255550230814652,4107.0,38328.4,41194.64705882353,3.0,7.625,17.666666666666668,6.696214282285604,20.428737928059416,0.008953217585469833,303.125,640.6666666666666,2.720483299595142
25,4315,2010-07-20 19:09:19.663,2019-08-31 16:03:24.880,29.0,0,1878.804,32.54571666666667,263.52555,10060.855450000001,37.08583333333333,1266.5602166666665,37499.21200000001,33994.9805,15705.230616666668,759.60155,7045.069066666667,11.0,0.0,0.0,0.0,0.0,0.0,0.0,92009.66666666667,0.0,28006.583333333332,0.0,20.363636363636363,0.0,18.473076231492833,0.0,0.0,1154.090909090909,0.0,16.454545454545453
26,1293,2010-07-20 19:09:40.130,2017-08-04 22:15:22.100,17.0,0,51820.143000000004,110.31183333333334,249.62,295.0762833333334,841.5086666666667,2288.301783333334,15563.057100000002,2312.7454000000002,279.9957666666667,279.9370666666667,1346.9947166666668,9.0,2.0,3.3333333333333335,24417.0,222063.0,2.0,0.011208282771524386,3688.75,42733.142857142855,33390.82679738562,4.0,12.777777777777779,11.0,20.70493768269889,2.8284271247461903,0.046734091415925674,791.7777777777778,233.5,6.805555555555555
30,1838,2010-07-20 19:11:53.463,2016-03-28 05:19:21.697,24.0,0,7624.740000000001,6.530500000000001,2394.885666666667,1.88395,24.67216666666667,217.38528333333335,1216.03655,0.35728333333333334,2.7052666666666667,3.215166666666667,7984.217616666667,8.0,3.0,2.25,13394.0,107228.0,3.0,0.00023490933492816235,5806.5,25749.8,13006.333333333334,1.6666666666666667,26.5,6.0,40.266966255586865,1.0,0.0029144425067201755,238.5,195.66666666666666,24.625
31,2776,2010-07-20 19:12:52.807,2019-07-23 19:28:09.000,12.0,0,77.796,172.85783333333336,10.606733333333333,4.110166666666667,421.7271666666667,66.24650000000001,87.9795,1335.5585,936.72005,5169.875383333334,4935.275283333333,7.0,4.0,1.6,13825.0,286579.0,4.0,0.003253179773127038,5033.0,51495.05263157895,15409.882352941177,5.5,18.0,87.5,9.073771725877465,127.07346956255923,0.028621555722978368,448.0,830.5,11.15079365079365
33,3995,2010-07-20 19:13:29.857,2019-08-30 12:47:52.133,11.0,1,590.46,31.226266666666668,151077.18745000003,59258.18495,76889.43121666668,217930.32028333333,77539.67716666666,49261.246333333336,8638.09705,26819.305116666666,30600.00171666667,1.0,10.0,0.18181818181818182,251314.0,251314.0,8.0,0.00015246428359860553,0.0,77732.78571428571,0.0,1.6,-2.0,5.8,0.0,5.593647190240809,0.04741474078498678,856.0,629.7,-0.4
35,1310,2010-07-20 19:14:45.970,2017-07-06 10:06:04.703,12.0,0,511.6,11.154783333333334,12.145100000000001,4.818616666666667,6.439383333333334,145.18778333333333,576.1775,4.751783333333334,353.46333333333337,494.10360000000003,8.329833333333333,11.0,0.0,0.0,0.0,0.0,0.0,0.0,6581.666666666667,0.0,4272.0,0.0,11.181818181818182,0.0,7.897065047448726,0.0,0.0,678.8181818181819,0.0,6.3969696969696965
