Id,Reputation,CreationDate,LastAccessDate,numPosts,is_churn,gap1,gap2,gap3,gap4,gap5,num_answers,num_questions,ans_que_ratio,accepted_answerer_rep,max_rep_answerer,num_que_answered,time_for_first_ans,rep_questioner,rep_answerers,rep_co_answerers,num_answers_recvd,ans_score,que_score,ans_stddev,que_stddev,answering_speed,ans_comments,que_comments,relative_rank_pos
8,7787,2010-07-20 19:02:36.577,2019-08-28 03:27:52.720,32.0,0,1183.616,16.023283333333335,10.702666666666667,111.23328333333333,14.950266666666668,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1896.3333333333333,0.0,3886.75,0.0,112.0,0.0,153.80344599520518,0.0,0.0,1173.8,0.0,109.2
9,13394,2010-07-20 19:03:30.537,2019-08-20 19:14:18.543,134.0,0,65849.38,7.656716666666667,51.84816666666667,327.99178333333333,314.64810000000006,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3464.25,0.0,7554.416666666666,0.0,8.4,0.0,6.024948132556827,0.0,0.0,401.6,0.0,6.9333333333333345
11,926,2010-07-20 19:03:51.300,2019-05-20 12:00:45.380,6.0,1,3672.333,33.021283333333336,169811.05911666667,17192.1371,202.04790000000003,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1011.3333333333334,0.0,1959.5,0.0,11.2,0.0,6.760177512462228,0.0,0.0,367.8,0.0,10.3
16,3874,2010-07-20 19:05:21.640,2019-08-26 23:23:06.970,74.0,0,1079.5800000000002,17.30095,11.871833333333335,6.275666666666667,67.21176666666666,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5101.333333333333,0.0,7876.138888888888,0.0,26.6,0.0,31.23779761762983,0.0,0.0,330.0,0.0,25.7
19,513,2010-07-20 19:06:33.633,2018-02-22 12:51:09.673,16.0,0,1570.92,4.969116666666666,474.1171166666667,27.66476666666667,32.61761666666667,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2245.5,0.0,13879.964285714286,0.0,7.6,0.0,8.384509526501834,0.0,0.0,332.8,0.0,2.0791596638655463
25,4315,2010-07-20 19:09:19.663,2019-08-31 16:03:24.880,29.0,0,1878.804,32.54571666666667,263.52555,10060.855450000001,37.08583333333333,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2798.75,0.0,6373.583333333333,0.0,30.4,0.0,19.39845354661036,0.0,0.0,1444.0,0.0,25.3
26,1293,2010-07-20 19:09:40.130,2017-08-04 22:15:22.100,17.0,0,51820.143000000004,110.31183333333334,249.62,295.0762833333334,841.5086666666667,3.0,2.0,1.3333333333333333,24417.0,222063.0,2.0,0.011208282771524386,3927.0,42733.142857142855,27171.428571428572,4.0,25.333333333333332,11.0,34.789845261704365,2.8284271247461903,0.005164114533201263,1451.3333333333333,233.5,7.25
30,1838,2010-07-20 19:11:53.463,2016-03-28 05:19:21.697,24.0,0,7624.740000000001,6.530500000000001,2394.885666666667,1.88395,24.67216666666667,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3098.5,0.0,2386.625,0.0,38.2,0.0,48.761665270989255,0.0,0.0,138.0,0.0,36.1
31,2776,2010-07-20 19:12:52.807,2019-07-23 19:28:09.000,12.0,0,77.796,172.85783333333336,10.606733333333333,4.110166666666667,421.7271666666667,4.0,1.0,2.5,6599.0,222063.0,1.0,0.057698410408793234,4367.0,81534.6,14849.255952380952,7.0,16.75,278.0,12.0381338531629,0.0,0.022419925552613223,500.0,1221.0,7.015476190476191
33,3995,2010-07-20 19:13:29.857,2019-08-30 12:47:52.133,11.0,0,590.46,31.226266666666668,151077.18745000003,59258.18495,76889.43121666668,1.0,4.0,0.4,62775.0,62775.0,4.0,7.717750511001668e-05,0.0,33964.2,0.0,1.5,-2.0,4.5,0.0,3.5118845842842465,0.08339008491890314,856.0,606.25,-0.5
