Id,Reputation,CreationDate,LastAccessDate,numPosts,is_churn,gap1,gap2,gap3,gap4,gap5,gap6,num_answers,num_questions,ans_que_ratio,accepted_answerer_rep,max_rep_answerer,num_que_answered,time_for_first_ans,rep_questioner,rep_answerers,rep_co_answerers,num_answers_recvd,ans_score,que_score,ans_stddev,que_stddev,answering_speed,ans_comments,que_comments,relative_rank_pos
8,7787,2010-07-20 19:02:36.577,2019-08-28 03:27:52.720,32.0,0,1183.616,16.023283333333335,10.702666666666667,111.23328333333333,14.950266666666668,4.662233333333334,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2359.0,0.0,4693.583333333333,0.0,100.16666666666667,0.0,140.58650954720608,0.0,0.0,1077.1666666666667,0.0,95.27777777777777
9,13394,2010-07-20 19:03:30.537,2019-08-20 19:14:18.543,134.0,0,65849.38,7.656716666666667,51.84816666666667,327.99178333333333,314.64810000000006,722.3050000000001,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4091.2,0.0,7554.416666666666,0.0,9.0,0.0,5.585696017507576,0.0,0.0,378.6666666666667,0.0,6.4444444444444455
11,926,2010-07-20 19:03:51.300,2019-05-20 12:00:45.380,6.0,1,3672.333,33.021283333333336,169811.05911666667,17192.1371,202.04790000000003,716275.3148333334,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1011.3333333333334,0.0,1959.5,0.0,11.666666666666666,0.0,6.15358973824764,0.0,0.0,376.0,0.0,10.916666666666666
16,3874,2010-07-20 19:05:21.640,2019-08-26 23:23:06.970,74.0,0,1079.5800000000002,17.30095,11.871833333333335,6.275666666666667,67.21176666666666,162.84545,6.0,0.0,0.0,0.0,0.0,0.0,0.0,7299.0,0.0,6379.875,0.0,22.666666666666668,0.0,29.554469487146385,0.0,0.0,334.3333333333333,0.0,21.916666666666668
19,513,2010-07-20 19:06:33.633,2018-02-22 12:51:09.673,16.0,0,1570.92,4.969116666666666,474.1171166666667,27.66476666666667,32.61761666666667,0.9542166666666667,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2866.0,0.0,17125.633333333335,0.0,8.333333333333334,0.0,7.711463328491335,0.0,0.0,301.0,0.0,1.8987668446478514
25,4315,2010-07-20 19:09:19.663,2019-08-31 16:03:24.880,29.0,0,1878.804,32.54571666666667,263.52555,10060.855450000001,37.08583333333333,1266.5602166666665,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4918.5,0.0,0.0,0.0,32.0,0.0,17.787636155487327,0.0,0.0,1259.8333333333333,0.0,24.833333333333332
26,1293,2010-07-20 19:09:40.130,2017-08-04 22:15:22.100,17.0,0,51820.143000000004,110.31183333333334,249.62,295.0762833333334,841.5086666666667,2288.301783333334,4.0,2.0,1.6666666666666667,24417.0,222063.0,2.0,0.011208282771524386,3927.0,42733.142857142855,25394.2,4.0,20.5,11.0,30.005555041247504,2.8284271247461903,0.005164114533201263,1334.5,233.5,6.9375
30,1838,2010-07-20 19:11:53.463,2016-03-28 05:19:21.697,24.0,0,7624.740000000001,6.530500000000001,2394.885666666667,1.88395,24.67216666666667,217.38528333333335,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4011.6666666666665,0.0,2739.125,0.0,33.166666666666664,0.0,45.32291546962382,0.0,0.0,193.33333333333334,0.0,31.51388888888889
31,2776,2010-07-20 19:12:52.807,2019-07-23 19:28:09.000,12.0,0,77.796,172.85783333333336,10.606733333333333,4.110166666666667,421.7271666666667,66.24650000000001,4.0,2.0,1.6666666666666667,6599.0,222063.0,2.0,0.08857330548194949,6053.0,56257.5,25394.2,5.0,16.75,150.0,12.0381338531629,181.01933598375618,0.04636880046199021,500.0,932.5,7.0472222222222225
33,3995,2010-07-20 19:13:29.857,2019-08-30 12:47:52.133,11.0,0,590.46,31.226266666666668,151077.18745000003,59258.18495,76889.43121666668,217930.32028333333,1.0,5.0,0.3333333333333333,173217.0,173217.0,5.0,9.590510010809957e-05,0.0,57173.0,0.0,1.6,-2.0,4.0,0.0,3.24037034920393,0.08339008491890314,856.0,655.4,-0.4
