Id,Reputation,CreationDate,LastAccessDate,numPosts,is_churn,gap1,gap2,gap3,gap4,gap5,gap6,gap7,gap8,gap9,gap10,num_answers,num_questions,ans_que_ratio,accepted_answerer_rep,max_rep_answerer,num_que_answered,time_for_first_ans,rep_questioner,rep_answerers,rep_co_answerers,num_answers_recvd,ans_score,que_score,ans_stddev,que_stddev,answering_speed,ans_comments,que_comments,relative_rank_pos
8,7787,2010-07-20 19:02:36.577,2019-08-28 03:27:52.720,32.0,0,1183.616,16.023283333333335,10.702666666666667,111.23328333333333,14.950266666666668,4.662233333333334,21.6731,307.1256666666667,3.0512333333333337,47.733716666666666,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3425.6,0.0,8634.986666666668,0.0,67.0,0.0,113.29803371835031,0.0,0.0,967.3,0.0,61.766666666666666
9,13394,2010-07-20 19:03:30.537,2019-08-20 19:14:18.543,134.0,0,65849.38,7.656716666666667,51.84816666666667,327.99178333333333,314.64810000000006,722.3050000000001,301.16473333333334,173.35960000000003,1072.1335000000001,710.3906666666667,9.0,1.0,5.0,0.0,222063.0,1.0,0.02968126770673126,4851.285714285715,72157.0,11877.125,8.0,14.555555555555555,156.0,18.344693450090077,0.0,2.7018204439478487e-05,523.5555555555555,2207.0,9.5
16,3874,2010-07-20 19:05:21.640,2019-08-26 23:23:06.970,74.0,0,1079.5800000000002,17.30095,11.871833333333335,6.275666666666667,67.21176666666666,162.84545,17.34345,260.71655,90.63628333333334,518.3476666666667,10.0,0.0,0.0,0.0,0.0,0.0,0.0,6676.0,0.0,18835.416666666668,0.0,21.5,0.0,24.712794706836014,0.0,0.0,249.5,0.0,16.1487012987013
19,513,2010-07-20 19:06:33.633,2018-02-22 12:51:09.673,16.0,0,1570.92,4.969116666666666,474.1171166666667,27.66476666666667,32.61761666666667,0.9542166666666667,33.174,9502.498616666668,3969.2763333333337,22498.58,8.0,2.0,3.0,22321.0,107228.0,2.0,0.013119959065727714,4107.0,45275.0,43746.5,3.0,7.625,25.0,6.696214282285604,22.627416997969522,0.008953217585469833,303.125,731.0,2.7167239010989013
25,4315,2010-07-20 19:09:19.663,2019-08-31 16:03:24.880,29.0,0,1878.804,32.54571666666667,263.52555,10060.855450000001,37.08583333333333,1266.5602166666665,37499.21200000001,33994.9805,15705.230616666668,759.60155,10.0,0.0,0.0,0.0,0.0,0.0,0.0,92009.66666666667,0.0,28006.583333333332,0.0,22.0,0.0,18.61301814441829,0.0,0.0,1172.0,0.0,17.7
26,1293,2010-07-20 19:09:40.130,2017-08-04 22:15:22.100,17.0,0,51820.143000000004,110.31183333333334,249.62,295.0762833333334,841.5086666666667,2288.301783333334,15563.057100000002,2312.7454000000002,279.9957666666667,279.9370666666667,8.0,2.0,3.0,24417.0,222063.0,2.0,0.011208282771524386,3688.75,42733.142857142855,36594.5,4.0,14.5,11.0,21.43428495258406,2.8284271247461903,0.046734091415925674,866.875,233.5,7.71875
30,1838,2010-07-20 19:11:53.463,2016-03-28 05:19:21.697,24.0,0,7624.740000000001,6.530500000000001,2394.885666666667,1.88395,24.67216666666667,217.38528333333335,1216.03655,0.35728333333333334,2.7052666666666667,3.215166666666667,7.0,3.0,2.0,13394.0,107228.0,3.0,0.00023490933492816235,5806.5,25749.8,13006.333333333334,1.6666666666666667,29.0,6.0,42.81744192888376,1.0,0.0029144425067201755,194.0,195.66666666666666,27.44761904761905
31,2776,2010-07-20 19:12:52.807,2019-07-23 19:28:09.000,12.0,0,77.796,172.85783333333336,10.606733333333333,4.110166666666667,421.7271666666667,66.24650000000001,87.9795,1335.5585,936.72005,5169.875383333334,6.0,4.0,1.4,13825.0,286579.0,4.0,0.003253179773127038,5033.0,51495.05263157895,23594.0,5.5,16.833333333333332,87.5,9.347013783378447,127.07346956255923,0.028621555722978368,489.3333333333333,830.5,8.416666666666666
33,3995,2010-07-20 19:13:29.857,2019-08-30 12:47:52.133,11.0,0,590.46,31.226266666666668,151077.18745000003,59258.18495,76889.43121666668,217930.32028333333,77539.67716666666,49261.246333333336,8638.09705,26819.305116666666,1.0,9.0,0.2,251314.0,251314.0,7.0,0.00013421888001814862,0.0,82172.92307692308,0.0,1.6666666666666667,-2.0,5.666666666666667,0.0,5.916079783099616,0.04741474078498678,856.0,641.6666666666666,-0.4
35,1310,2010-07-20 19:14:45.970,2017-07-06 10:06:04.703,12.0,0,511.6,11.154783333333334,12.145100000000001,4.818616666666667,6.439383333333334,145.18778333333333,576.1775,4.751783333333334,353.46333333333337,494.10360000000003,10.0,0.0,0.0,0.0,0.0,0.0,0.0,5873.0,0.0,4272.0,0.0,11.7,0.0,8.124722217473723,0.0,0.0,669.3,0.0,6.730000000000001
43,348,2010-07-20 19:18:28.160,2019-06-19 15:19:33.313,12.0,1,1829590.7000000002,132.34438333333335,1008.8712333333334,74634.80055,7727.677716666667,2737.3929000000003,2639.572666666667,9094.778500000002,83262.06676666667,66436.19978333333,1.0,9.0,0.2,312479.0,312479.0,9.0,0.008731457000220995,348.0,64897.0625,348.0,2.3333333333333335,5.0,3.7777777777777777,0.0,3.73422608373468,0.011910226531882347,464.0,1282.5555555555557,5.0
45,2920,2010-07-20 19:18:47.830,2018-03-25 03:03:22.730,22.0,0,184.41000000000003,8.967883333333333,1360.7207833333334,520.57195,698.8680500000002,146.56221666666667,1523.6939,553.52155,1614.9738333333335,27.434050000000003,7.0,3.0,2.0,30582.0,30582.0,3.0,0.04861519613800882,10706.0,26625.0,11420.25,1.3333333333333333,20.428571428571427,11.666666666666666,25.66357433443455,2.8867513459481287,0.03512257485937799,696.0,741.0,18.928571428571427
50,792,2010-07-20 19:20:25.783,2019-05-09 15:51:13.460,10.0,1,2127.59,8.4365,6.316666666666666,27.86606666666667,259.33605,1198.7265000000002,9.700050000000001,351265.4467833333,183300.99055000002,329451.91200000007,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3535.6,0.0,1414.1666666666667,0.0,11.5,0.0,11.217545780309226,0.0,0.0,553.4,0.0,10.407142857142857
51,7999,2010-07-20 19:21:33.223,2019-08-30 04:41:15.113,53.0,0,265.26,15.109666666666667,8.749500000000001,15.693333333333333,57.00916666666667,8.870166666666668,7.6547833333333335,17.621833333333335,5.364050000000001,22.31345,7.0,3.0,2.0,5775.0,30582.0,3.0,0.02478429744020891,2971.3333333333335,7766.428571428572,6324.711111111112,5.0,33.857142857142854,14.0,41.402208360700484,2.0,0.08619111958091326,1408.2857142857142,526.6666666666666,32.30476190476191
