Id,Reputation,CreationDate,LastAccessDate,numPosts,is_churn,gap1,gap2,gap3,gap4,gap5,gap6,gap7,gap8,gap9,gap10,gap11,gap12,gap13,gap14,gap15,gap16,gap17,gap18,gap19,gap20,num_answers,num_questions,ans_que_ratio,accepted_answerer_rep,max_rep_answerer,num_que_answered,time_for_first_ans,rep_questioner,rep_answerers,rep_co_answerers,num_answers_recvd,ans_score,que_score,ans_stddev,que_stddev,answering_speed,ans_comments,que_comments,relative_rank_pos
8,7787,2010-07-20 19:02:36.577,2019-08-28 03:27:52.720,32.0,0,1183.616,16.023283333333335,10.702666666666667,111.23328333333333,14.950266666666668,4.662233333333334,21.6731,307.1256666666667,3.0512333333333337,47.733716666666666,69.091,18.79745,662.3840500000001,373.8477833333334,28.50521666666667,1659.1437166666667,5.8999500000000005,3.0673833333333334,773.07,241.98023333333333,17.0,3.0,4.5,24417.0,275257.0,3.0,0.0035176191877840744,6056.0,76831.25,23918.405,3.6666666666666665,46.23529411764706,47.333333333333336,89.04039070259401,30.088757590391353,0.0014660530690395318,877.8823529411765,458.6666666666667,40.30294117647059
9,13394,2010-07-20 19:03:30.537,2019-08-20 19:14:18.543,134.0,0,65849.38,7.656716666666667,51.84816666666667,327.99178333333333,314.64810000000006,722.3050000000001,301.16473333333334,173.35960000000003,1072.1335000000001,710.3906666666667,548.586,2928.250666666667,774.5222333333334,967.6833333333333,196.7616,6.683833333333334,228.66133333333335,745.0479,591.9418333333334,2564.7181,18.0,2.0,6.333333333333333,0.0,286579.0,2.0,0.043532882018271477,5161.6,92332.3,17600.404761904763,6.5,11.055555555555555,95.5,13.440379118524639,85.55992052357225,0.0028167472597462125,684.7222222222222,1517.0,7.6416666666666675
16,3874,2010-07-20 19:05:21.640,2019-08-26 23:23:06.970,74.0,0,1079.5800000000002,17.30095,11.871833333333335,6.275666666666667,67.21176666666666,162.84545,17.34345,260.71655,90.63628333333334,518.3476666666667,492.07550000000003,54.83188333333333,2.499883333333334,59.65428333333333,829.1537166666668,11.3984,8.837433333333333,761.6595,2404.5433333333335,82.06306666666667,18.0,2.0,6.333333333333333,24417.0,24417.0,2.0,0.0038795750171275152,5566.5,18905.5,19117.700757575756,1.0,19.055555555555557,5.0,20.077708511804012,2.8284271247461903,0.05500988802737293,419.72222222222223,829.5,14.726388888888888
25,4315,2010-07-20 19:09:19.663,2019-08-31 16:03:24.880,29.0,0,1878.804,32.54571666666667,263.52555,10060.855450000001,37.08583333333333,1266.5602166666665,37499.21200000001,33994.9805,15705.230616666668,759.60155,7045.069066666667,188349.31410000002,167608.65600000002,9906.330116666668,33.16595,27304.36305,995.6893833333335,10475.043000000001,1259.0143333333333,4274.462566666667,20.0,0.0,0.0,0.0,0.0,0.0,0.0,115787.1,0.0,17091.06666666667,0.0,14.4,0.0,15.277778841041961,0.0,0.0,1156.45,0.0,12.15
30,1838,2010-07-20 19:11:53.463,2016-03-28 05:19:21.697,24.0,0,7624.740000000001,6.530500000000001,2394.885666666667,1.88395,24.67216666666667,217.38528333333335,1216.03655,0.35728333333333334,2.7052666666666667,3.215166666666667,7984.217616666667,14.930216666666668,11.977733333333335,1257.8027166666666,6.116783333333333,112.06105000000001,29.907500000000002,2699.4931166666665,1517.0862166666668,211519.7435,17.0,3.0,4.5,13394.0,107228.0,3.0,0.00023490933492816235,9037.0,31712.75,19732.633333333335,1.6666666666666667,17.58823529411765,6.0,28.23131865395551,1.0,0.0036197759635275446,529.5882352941177,195.66666666666666,16.074136321195144
45,2920,2010-07-20 19:18:47.830,2018-03-25 03:03:22.730,22.0,0,184.41000000000003,8.967883333333333,1360.7207833333334,520.57195,698.8680500000002,146.56221666666667,1523.6939,553.52155,1614.9738333333335,27.434050000000003,535.2962333333334,16.8735,4607.5354333333335,1769.2633333333333,8.838400000000002,874.5541000000001,284154.7567333334,263.3675,28725.441216666666,155369.48995,12.0,8.0,1.4444444444444444,286579.0,459272.0,8.0,0.06731792080186863,8838.5,111020.46153846153,9771.444444444443,2.25,18.25,10.625,20.082217371233053,6.323143431644016,0.046895030131698254,590.6666666666666,517.875,17.208333333333332
51,7999,2010-07-20 19:21:33.223,2019-08-30 04:41:15.113,53.0,0,265.26,15.109666666666667,8.749500000000001,15.693333333333333,57.00916666666667,8.870166666666668,7.6547833333333335,17.621833333333335,5.364050000000001,22.31345,20.359283333333334,9.890666666666668,10.591050000000001,64.47695,4.320716666666667,7.989050000000001,1276.6815,38.105783333333335,19.807616666666668,150.6326666666667,12.0,8.0,1.4444444444444444,52622.0,222063.0,8.0,0.01602659720650401,6887.0,20896.8125,12943.3125,7.875,37.25,29.125,53.3975229251831,23.8653215236789,0.04454622257473974,1320.5,757.125,34.333333333333336
56,4301,2010-07-20 19:23:54.217,2019-07-31 21:59:01.333,29.0,0,225.216,6.190616666666667,13.289116666666668,7.3741,86.47623333333334,611.2529333333333,25.83206666666667,3.94705,268.583,1157.5413833333334,11.1059,66.7766,1366.5087333333333,492.38355000000007,3838.0179500000004,3279.41805,28539.059833333336,31.442500000000003,12326.705950000001,9.142716666666667,17.0,3.0,4.5,3474.0,24417.0,3.0,0.007285329568275011,7355.333333333333,8200.6,43447.375,5.0,15.352941176470589,50.0,21.566586356185894,57.087651904768336,0.05585691604072333,839.8823529411765,1141.3333333333333,13.343395252837977
72,30582,2010-07-20 19:41:06.357,2019-08-05 22:01:53.803,498.0,0,1026.386,12.993783333333335,37.201550000000005,14.466166666666668,16.307616666666668,79.60661666666667,18.240666666666666,337.0595,83.87476666666666,1143.024666666667,190.77295,85.94921666666667,689.1374500000001,652.7607833333334,5.8806,849.4455666666668,23.366383333333335,2.239616666666667,675.2363833333334,19.179333333333332,16.0,4.0,3.4,286579.0,286579.0,4.0,0.00029501303004331934,8856.875,31690.666666666668,32116.076839826837,4.75,35.5,22.5,47.20593183065027,24.172987679087857,0.006231951447330044,1249.75,591.0,27.302083333333332
73,5775,2010-07-20 19:42:51.877,2013-12-01 04:08:32.473,32.0,0,3365.8230000000003,59.68566666666667,58.28616666666667,50.24705000000001,116.19473333333333,684.0104333333334,675.19495,64.83716666666666,72.78988333333334,476.70745,65.80171666666666,829.7152333333335,57.83233333333333,1316.43855,885.8461166666667,31.594550000000005,367.93433333333337,43.08666666666667,2042.8018333333334,784.6778833333334,10.0,10.0,1.0,62775.0,134579.0,10.0,0.000942008264624729,6047.4,23545.64285714286,7883.466666666667,4.7,26.9,24.2,25.971993463044846,27.193953576321174,0.022273398960727518,935.4,882.6,22.580000000000002
