Id,Reputation,CreationDate,LastAccessDate,numPosts,is_churn,gap1,last_gap,time_since_last_post,mean_gap,num_answers,num_questions,ans_que_ratio,num_posts,accepted_answerer_rep,max_rep_answerer,num_que_answered,time_for_first_ans,rep_questioner,rep_answerers,rep_co_answerers,num_answers_recvd,ans_score,que_score,ans_stddev,que_stddev,answering_speed,ans_comments,que_comments,relative_rank_pos
3,357,2010-07-20 16:03:31.233,2019-03-12 16:34:41.130,3.0,1,13303.400000000001,1057.9803333333334,20320.296333333335,528.9901666666667,2.0,0.0,0.0,2,0.0,0.0,0.0,0.0,169.5,0.0,2326.5,0.0,138.5,0.0,180.31222920256963,0.0,0.0,397.5,0.0,72.0
5,393,2010-07-20 17:05:37.000,2019-08-28 02:00:26.007,3.0,0,9463.457,44.35443333333333,21397.921283333333,22.177216666666666,1.0,1.0,1.0,2,1310.0,2864.0,1.0,0.30365909205931474,101.0,1626.6666666666667,29557.153846153848,10.0,6.0,44.0,0.0,0.0,0.14252442585517902,168.0,174.0,0.6666666666666666
8,7787,2010-07-20 19:02:36.577,2019-08-28 03:27:52.720,32.0,0,1183.616,1012.8363333333333,16194.4945,256.465646031746,18.0,3.0,4.75,21,24417.0,173285.0,3.0,0.0035176191877840744,3493.8333333333335,32286.0,14156.69480024333,3.6666666666666665,44.72222222222222,47.333333333333336,86.62006665728455,30.088757590391353,0.013347077376655508,880.2222222222222,458.6666666666667,37.00508214981899
9,13394,2010-07-20 19:03:30.537,2019-08-20 19:14:18.543,134.0,0,65849.38,410.8391666666667,2788.59895,738.0796409722221,21.0,3.0,5.5,24,0.0,286579.0,3.0,0.015451306923043907,3282.5882352941176,48298.7,15767.085130718955,4.666666666666667,10.714285714285714,68.33333333333333,12.787270455976353,76.64419960658036,0.014727303078980607,671.2380952380952,1303.6666666666667,6.637301587301589
10,869,2010-07-20 19:03:49.270,2018-08-14 15:57:55.993,1.0,1,337.93,337.93,21594.367833333334,0.0,0.0,1.0,0.0,1,7787.0,7787.0,1.0,0.0776203665492443,0.0,2654.8571428571427,0.0,9.0,0.0,152.0,0.0,0.0,0.046846004533019237,0.0,471.0,0.0
11,926,2010-07-20 19:03:51.300,2019-05-20 12:00:45.380,6.0,0,3672.333,33.021283333333336,21505.77316666667,16.510641666666668,2.0,0.0,0.0,2,0.0,0.0,0.0,0.0,468.5,0.0,2134.75,0.0,8.5,0.0,0.7071067811865476,0.0,0.0,261.5,0.0,6.25
12,518,2010-07-20 19:03:52.720,2018-02-26 06:06:41.457,2.0,1,532699.28,1496.963616666667,11224.71505,748.4818083333334,1.0,1.0,1.0,2,35224.0,222063.0,1.0,0.3431905279414288,7999.0,52255.57142857143,7729.333333333333,16.0,5.0,73.0,0.0,0.0,0.09534183232024061,266.0,169.0,1.6666666666666667
16,3874,2010-07-20 19:05:21.640,2019-08-26 23:23:06.970,74.0,0,1079.5800000000002,5108.316833333333,-996.7148333333334,705.5850572916667,26.0,6.0,3.857142857142857,32,113632.0,113632.0,5.0,0.0008178738422101213,2258.181818181818,64667.75,11625.898144012848,0.8333333333333334,15.115384615384615,11.833333333333334,18.00739164471506,10.53407170407847,0.02063208892774007,581.1153846153846,621.3333333333334,10.5004884004884
17,151,2010-07-20 19:05:37.193,2017-06-12 16:13:03.763,1.0,1,1137.63,1137.63,21581.039500000003,0.0,0.0,1.0,0.0,1,164.0,164.0,1.0,0.019438675837401956,0.0,164.0,0.0,2.0,0.0,8.0,0.0,0.0,0.019438675837401956,0.0,107.0,0.0
19,513,2010-07-20 19:06:33.633,2018-02-22 12:51:09.673,16.0,0,1570.92,3969.2763333333337,7528.5462166666675,1560.5857537037036,8.0,1.0,4.5,9,0.0,107228.0,1.0,0.015466907263001869,1216.5,107228.0,14440.150297619048,3.0,7.625,41.0,6.696214282285604,0.0,0.015466907263001869,303.125,1239.0,1.5841301169590642
