Id,Reputation,CreationDate,LastAccessDate,numPosts,is_churn,gap1,gap2,gap3,gap4,gap5,gap6,gap7,gap8,gap9,gap10,gap11,gap12,num_answers,num_questions,ans_que_ratio,accepted_answerer_rep,max_rep_answerer,num_que_answered,time_for_first_ans,rep_questioner,rep_answerers,rep_co_answerers,num_answers_recvd,ans_score,que_score,ans_stddev,que_stddev,answering_speed,ans_comments,que_comments,relative_rank_pos
8,7787,2010-07-20 19:02:36.577,2019-08-28 03:27:52.720,32.0,0,1183.616,16.023283333333335,10.702666666666667,111.23328333333333,14.950266666666668,4.662233333333334,21.6731,307.1256666666667,3.0512333333333337,47.733716666666666,69.091,18.79745,12.0,0.0,0.0,0.0,0.0,0.0,0.0,3479.1666666666665,0.0,7933.155555555556,0.0,59.5,0.0,103.9715870278554,0.0,0.0,878.9166666666666,0.0,52.54861111111111
9,13394,2010-07-20 19:03:30.537,2019-08-20 19:14:18.543,134.0,0,65849.38,7.656716666666667,51.84816666666667,327.99178333333333,314.64810000000006,722.3050000000001,301.16473333333334,173.35960000000003,1072.1335000000001,710.3906666666667,548.586,2928.250666666667,11.0,1.0,6.0,0.0,222063.0,1.0,0.02968126770673126,5093.444444444444,72157.0,17616.1,8.0,13.0,156.0,16.774981371077583,0.0,2.7018204439478487e-05,598.3636363636364,2207.0,7.822727272727272
16,3874,2010-07-20 19:05:21.640,2019-08-26 23:23:06.970,74.0,0,1079.5800000000002,17.30095,11.871833333333335,6.275666666666667,67.21176666666666,162.84545,17.34345,260.71655,90.63628333333334,518.3476666666667,492.07550000000003,54.83188333333333,12.0,0.0,0.0,0.0,0.0,0.0,0.0,6508.4,0.0,14837.636029411764,0.0,19.916666666666668,0.0,22.801348976574065,0.0,0.0,405.6666666666667,0.0,15.252083333333333
19,513,2010-07-20 19:06:33.633,2018-02-22 12:51:09.673,16.0,0,1570.92,4.969116666666666,474.1171166666667,27.66476666666667,32.61761666666667,0.9542166666666667,33.174,9502.498616666668,3969.2763333333337,22498.58,45324.44211666667,32321.817433333334,9.0,3.0,2.5,22321.0,107228.0,3.0,0.0009255550230814652,4107.0,38328.4,41222.294117647056,3.0,7.0,17.666666666666668,6.53834841531101,20.428737928059416,0.008953217585469833,339.0,640.6666666666666,2.9026283846872083
25,4315,2010-07-20 19:09:19.663,2019-08-31 16:03:24.880,29.0,0,1878.804,32.54571666666667,263.52555,10060.855450000001,37.08583333333333,1266.5602166666665,37499.21200000001,33994.9805,15705.230616666668,759.60155,7045.069066666667,188349.31410000002,12.0,0.0,0.0,0.0,0.0,0.0,0.0,79063.71428571429,0.0,15795.625,0.0,19.833333333333332,0.0,17.70892601503718,0.0,0.0,1071.75,0.0,16.25
26,1293,2010-07-20 19:09:40.130,2017-08-04 22:15:22.100,17.0,0,51820.143000000004,110.31183333333334,249.62,295.0762833333334,841.5086666666667,2288.301783333334,15563.057100000002,2312.7454000000002,279.9957666666667,279.9370666666667,1346.9947166666668,304.2397833333334,10.0,2.0,3.6666666666666665,24417.0,222063.0,2.0,0.011208282771524386,3688.75,49701.5,33400.04248366012,4.0,12.4,11.0,19.557323152438038,2.8284271247461903,0.04673410129601945,784.0,233.5,6.725
30,1838,2010-07-20 19:11:53.463,2016-03-28 05:19:21.697,24.0,0,7624.740000000001,6.530500000000001,2394.885666666667,1.88395,24.67216666666667,217.38528333333335,1216.03655,0.35728333333333334,2.7052666666666667,3.215166666666667,7984.217616666667,14.930216666666668,9.0,3.0,2.5,13394.0,107228.0,3.0,0.00023490933492816235,4344.333333333333,25749.8,8567.25,1.6666666666666667,24.555555555555557,6.0,38.11532208676424,1.0,0.0029144425067201755,299.8888888888889,195.66666666666666,22.61111111111111
31,2776,2010-07-20 19:12:52.807,2019-07-23 19:28:09.000,12.0,1,77.796,172.85783333333336,10.606733333333333,4.110166666666667,421.7271666666667,66.24650000000001,87.9795,1335.5585,936.72005,5169.875383333334,4935.275283333333,5682.9055,7.0,5.0,1.3333333333333333,13825.0,286579.0,5.0,0.0033195600728669994,5033.0,53042.75,15813.264705882351,4.8,18.0,73.6,9.073771725877465,114.3538368398717,0.02669794207080195,448.0,806.4,11.15079365079365
35,1310,2010-07-20 19:14:45.970,2017-07-06 10:06:04.703,12.0,1,511.6,11.154783333333334,12.145100000000001,4.818616666666667,6.439383333333334,145.18778333333333,576.1775,4.751783333333334,353.46333333333337,494.10360000000003,8.329833333333333,580.7467333333334,12.0,0.0,0.0,0.0,0.0,0.0,0.0,6936.0,0.0,4272.0,0.0,10.5,0.0,7.8913070699806935,0.0,0.0,710.3333333333334,0.0,5.947222222222222
43,348,2010-07-20 19:18:28.160,2019-06-19 15:19:33.313,12.0,1,1829590.7000000002,132.34438333333335,1008.8712333333334,74634.80055,7727.677716666667,2737.3929000000003,2639.572666666667,9094.778500000002,83262.06676666667,66436.19978333333,339748.2153833333,188639.1215666667,1.0,11.0,0.16666666666666666,312479.0,312479.0,11.0,0.008996903115999086,348.0,61240.23529411765,340.0,2.1818181818181817,5.0,3.4545454545454546,0.0,3.531674853766591,0.01882562112373194,464.0,1136.7272727272727,5.0
45,2920,2010-07-20 19:18:47.830,2018-03-25 03:03:22.730,22.0,0,184.41000000000003,8.967883333333333,1360.7207833333334,520.57195,698.8680500000002,146.56221666666667,1523.6939,553.52155,1614.9738333333335,27.434050000000003,535.2962333333334,16.8735,8.0,4.0,1.8,30582.0,30582.0,4.0,0.056553502323052916,9732.4,27614.25,11420.25,1.25,21.0,9.75,23.814761328698157,4.5,0.03512257485937799,697.75,604.75,19.833333333333336
